Timestamp,Actigtaph Steps,Bangle Steps
8:00:00,0,0
8:01:00,0,0
8:02:00,0,0
8:03:00,0,0
8:04:00,0,0
8:05:00,0,0
8:06:00,0,0
8:07:00,0,0
8:08:00,0,0
8:09:00,0,0
8:10:00,0,0
8:11:00,0,0
8:12:00,0,0
8:13:00,0,0
8:14:00,0,0
8:15:00,0,0
8:16:00,0,0
8:17:00,0,0
8:18:00,0,0
8:19:00,0,0
8:20:00,0,0
8:21:00,0,0
8:22:00,0,0
8:23:00,0,0
8:24:00,0,0
8:25:00,0,0
8:26:00,0,0
8:27:00,0,0
8:28:00,0,0
8:29:00,0,0
8:30:00,0,0
8:31:00,0,0
8:32:00,0,0
8:33:00,0,0
8:34:00,0,0
8:35:00,0,0
8:36:00,0,0
8:37:00,0,0
8:38:00,0,0
8:39:00,0,0
8:40:00,2,0
8:41:00,0,0
8:42:00,3,0
8:43:00,0,0
8:44:00,0,0
8:45:00,0,0
8:46:00,0,0
8:47:00,0,0
8:48:00,0,0
8:49:00,0,0
8:50:00,1,0
8:51:00,7,0
8:52:00,0,0
8:53:00,1,0
8:54:00,32,0
8:55:00,19,7
8:56:00,14,9
8:57:00,4,0
8:58:00,2,0
8:59:00,1,0
9:00:00,5,0
9:01:00,0,0
9:02:00,9,0
9:03:00,1,0
9:04:00,2,0
9:05:00,3,0
9:06:00,14,0
9:07:00,14,0
9:08:00,3,0
9:09:00,6,0
9:10:00,8,0
9:11:00,5,0
9:12:00,15,0
9:13:00,3,0
9:14:00,8,0
9:15:00,3,0
9:16:00,0,0
9:17:00,3,0
9:18:00,27,0
9:19:00,24,5
9:20:00,0,0
9:21:00,0,0
9:22:00,0,0
9:23:00,4,0
9:24:00,2,0
9:25:00,1,0
9:26:00,1,0
9:27:00,0,0
9:28:00,3,0
9:29:00,1,0
9:30:00,3,0
9:31:00,2,0
9:32:00,0,0
9:33:00,0,0
9:34:00,0,0
9:35:00,0,0
9:36:00,0,0
9:37:00,0,0
9:38:00,0,0
9:39:00,2,0
9:40:00,0,0
9:41:00,0,0
9:42:00,0,0
9:43:00,0,0
9:44:00,0,0
9:45:00,0,0
9:46:00,0,0
9:47:00,1,0
9:48:00,1,0
9:49:00,6,0
9:50:00,0,0
9:51:00,0,0
9:52:00,0,0
9:53:00,0,0
9:54:00,0,0
9:55:00,0,0
9:56:00,1,0
9:57:00,0,0
9:58:00,0,0
9:59:00,2,0
10:00:00,0,0
10:01:00,0,0
10:02:00,0,0
10:03:00,1,0
10:04:00,0,0
10:05:00,0,0
10:06:00,0,0
10:07:00,0,0
10:08:00,0,0
10:09:00,3,0
10:10:00,22,0
10:11:00,7,5
10:12:00,0,0
10:13:00,6,0
10:14:00,10,5
10:15:00,5,0
10:16:00,8,0
10:17:00,0,0
10:18:00,0,0
10:19:00,12,0
10:20:00,15,7
10:21:00,39,0
10:22:00,3,10
10:23:00,24,0
10:24:00,8,8
10:25:00,1,0
10:26:00,0,0
10:27:00,0,0
10:28:00,0,0
10:29:00,0,0
10:30:00,0,0
10:31:00,0,0
10:32:00,0,0
10:33:00,0,0
10:34:00,0,0
10:35:00,0,0
10:36:00,0,0
10:37:00,0,0
10:38:00,0,0
10:39:00,0,0
10:40:00,0,0
10:41:00,0,0
10:42:00,0,0
10:43:00,0,0
10:44:00,39,0
10:45:00,33,26
10:46:00,7,6
10:47:00,15,0
10:48:00,34,14
10:49:00,2,10
10:50:00,26,0
10:51:00,7,5
10:52:00,2,0
10:53:00,0,0
10:54:00,1,0
10:55:00,5,0
10:56:00,2,0
10:57:00,4,0
10:58:00,0,0
10:59:00,0,0
11:00:00,27,8
11:01:00,3,0
11:02:00,23,0
11:03:00,27,7
11:04:00,56,0
11:05:00,9,18
11:06:00,28,0
11:07:00,10,13
11:08:00,21,0
11:09:00,3,6
11:10:00,1,0
11:11:00,3,0
11:12:00,11,0
11:13:00,19,0
11:14:00,1,0
11:15:00,0,0
11:16:00,1,0
11:17:00,7,0
11:18:00,1,0
11:19:00,0,0
11:20:00,3,0
11:21:00,5,0
11:22:00,5,0
11:23:00,6,0
11:24:00,8,0
11:25:00,10,0
11:26:00,4,0
11:27:00,5,0
11:28:00,6,0
11:29:00,4,0
11:30:00,1,0
11:31:00,4,0
11:32:00,2,0
11:33:00,1,0
11:34:00,4,0
11:35:00,7,0
11:36:00,20,0
11:37:00,22,17
11:38:00,3,0
11:39:00,3,0
11:40:00,0,0
11:41:00,0,0
11:42:00,4,0
11:43:00,0,0
11:44:00,0,0
11:45:00,2,0
11:46:00,1,0
11:47:00,6,0
11:48:00,16,0
11:49:00,6,0
11:50:00,8,0
11:51:00,10,0
11:52:00,28,17
11:53:00,0,0
11:54:00,6,0
11:55:00,7,0
11:56:00,4,0
11:57:00,1,0
11:58:00,3,0
11:59:00,3,0
12:00:00,3,0
12:01:00,1,0
12:02:00,0,0
12:03:00,0,0
12:04:00,0,0
12:05:00,2,0
12:06:00,5,0
12:07:00,1,0
12:08:00,2,0
12:09:00,9,0
12:10:00,5,0
12:11:00,5,0
12:12:00,3,0
12:13:00,2,0
12:14:00,4,0
12:15:00,5,0
12:16:00,24,0
12:17:00,5,8
12:18:00,4,0
